1,4,5,6,14,6,4,0,0,0,0,0,0,0,0,0,
0,0,0,0,4,16,4,8,132,56,4,12,14,0,7,8,
16,12,192,36,33,32,14,11,53,62,40,14,20,20,6,4,
6,7,4,29,79,21,12,10,84,307,173,55,14,12,4,2,
18,26,18,34,69,39,27,19,48,37,280,64,56,25,20,15,
17,11,2,132,377,164,284,593,1060,496,716,224,274,102,0,0,
42,270,138,132,144,142,72,80,160,86,104,69,356,232,54,8,
70,60,60,465,642,2006,100,110,260,164,178,120,654,941,198,61,
89,7,8,2393,1705,1382,151,115,540,363,636,682,846,802,258,0,
2338,40,27,122,236,195,84,69,197,220,410,471,505,526,167,22,
