1,3,0,1,12,2,1,5,6,4,4,5,2,0,0,0,
12,13,20,39,51,62,62,130,214,130,152,50,36,38,21,13,
10,29,78,88,84,90,168,345,673,132,290,88,61,64,35,17,
0,38,48,221,343,355,427,601,1313,400,434,355,59,56,29,4,
3,36,270,140,235,79,24,22,38,17,18,13,13,10,6,3,
0,8,33,123,145,146,387,594,836,475,581,252,177,90,26,1,
15,42,21,121,72,82,44,48,74,42,40,54,312,276,80,14,
81,123,136,878,1077,2274,634,872,1575,1113,885,722,674,598,438,101,
0,0,0,2542,1761,1434,345,428,1030,567,544,509,560,409,271,14,
2594,11,0,0,0,0,0,0,1,2,9,15,20,0,0,0,
