11,84,52,12,21,18,24,31,38,8,5,4,10,14,12,17,
10,1,43,15,13,26,109,24,17,38,229,7,10,14,10,16,
6,10,174,35,16,36,36,2,9,51,46,16,18,15,12,20,
18,7,8,23,24,42,12,0,2,96,17,27,232,333,402,462,
36,27,31,34,38,56,30,12,14,135,20,38,199,308,336,344,
3,0,11,40,56,68,0,0,0,10,0,4,138,349,411,632,
38,24,25,276,81,384,30,17,17,108,44,68,249,261,296,914,
75,28,33,576,588,2101,50,43,24,320,66,183,442,439,428,1056,
143,0,0,2462,1485,1295,0,0,0,128,71,175,448,374,448,880,
2472,43,0,78,86,111,19,17,0,93,26,59,208,266,236,120,
