7,280,147,7,8,10,4,2,26,10,14,14,4,3,6,10,
6,132,68,14,9,17,6,4,9,11,6,3,8,12,5,9,
26,25,183,46,37,60,21,18,34,30,22,24,94,176,305,369,
15,13,2,528,660,431,5,5,32,56,6,28,136,190,232,436,
5,6,12,712,859,256,3,6,33,7,5,10,13,6,11,17,
0,0,0,256,224,147,0,34,793,153,0,56,114,133,176,304,
20,94,70,226,102,261,11,24,62,17,6,18,41,20,34,94,
61,44,30,634,606,2311,44,247,378,65,42,152,347,194,274,781,
106,0,86,2472,1430,1320,0,0,0,0,0,27,228,219,224,696,
2380,14,0,70,69,100,21,79,86,16,0,0,32,153,147,554,
