16,124,40,14,26,20,29,26,145,19,7,8,11,16,19,19,
14,26,51,16,21,36,45,96,155,22,24,10,17,26,19,20,
20,14,170,45,36,41,29,90,53,72,36,35,67,96,110,110,
155,60,10,24,36,49,11,4,42,200,15,34,194,370,368,332,
68,157,25,416,461,196,28,20,29,246,27,64,141,370,384,352,
10,0,4,20,32,68,4,0,10,290,0,54,85,431,510,587,
6,7,2,192,171,25,0,0,0,4,2,0,0,2,2,3,
86,49,40,630,642,2012,54,48,65,245,122,376,454,545,587,1233,
124,0,0,2432,1430,1253,2,0,0,129,112,279,353,560,481,795,
2350,21,5,111,126,128,2,0,4,107,56,129,209,320,256,162,
