0,0,0,0,16,2,0,10,38,2,0,0,0,0,0,0,
1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,
22,11,15,53,46,57,74,229,513,190,206,146,71,36,16,14,
34,13,18,50,88,93,280,635,986,385,380,436,108,56,22,16,
16,23,320,13,17,20,9,13,21,13,10,8,10,10,7,8,
14,7,1,70,96,96,247,471,850,1031,464,351,171,178,25,2,
86,76,51,266,370,288,231,536,549,631,859,706,476,402,271,109,
97,62,72,765,1025,2243,209,278,565,655,665,675,511,526,417,669,
32,0,0,2594,1765,1465,88,65,215,138,448,438,391,492,341,191,
2695,14,0,0,1,6,0,11,20,0,0,0,0,0,0,4,
