5,10,6,12,21,19,66,113,224,22,13,7,8,12,10,14,
15,22,18,36,41,57,94,72,260,97,120,56,23,30,12,10,
25,125,24,58,50,74,41,74,219,90,113,157,132,159,253,74,
13,26,20,557,716,502,3,12,435,53,49,54,133,217,287,496,
28,78,71,260,442,153,22,29,71,145,40,69,65,259,357,569,
0,0,2,25,64,84,0,0,9,39,1,86,38,303,245,290,
26,27,17,146,66,151,21,22,32,96,26,102,118,249,145,684,
30,36,43,722,765,1847,43,194,51,120,74,272,316,442,294,805,
11,0,27,2301,1437,1195,14,0,0,0,50,140,306,506,283,169,
2360,12,5,20,16,0,0,0,0,7,0,0,0,0,0,0,
