4,6,6,8,22,11,10,10,37,168,24,3,7,10,6,4,
6,5,9,10,22,26,21,30,117,347,52,10,20,32,6,5,
24,22,31,54,77,52,58,78,170,320,125,39,46,55,68,46,
41,72,38,61,144,87,721,1066,1883,752,299,114,60,61,15,7,
58,102,120,378,1208,400,1246,1029,1390,668,577,206,258,158,65,54,
0,10,19,442,1080,148,56,82,122,51,54,120,230,48,0,0,
37,312,345,126,344,113,94,120,165,93,89,77,312,116,44,32,
77,79,308,485,1216,2072,166,227,338,201,194,145,813,985,76,69,
74,0,14,2449,1755,1474,450,667,1222,978,1002,1013,854,894,0,0,
2379,43,58,112,220,181,156,146,223,299,663,614,692,443,4,10,
