185,295,194,16,28,32,95,64,168,114,14,12,6,6,8,19,
24,24,18,21,27,41,86,71,558,428,36,18,19,21,16,25,
22,141,142,35,25,45,7,14,279,222,79,29,68,81,18,29,
106,51,95,2,9,20,5,0,6,49,59,45,99,43,36,124,
24,55,108,6,10,31,5,10,25,149,94,50,83,62,171,54,
3,0,5,0,19,18,0,0,162,84,122,52,14,8,45,84,
29,16,72,695,280,275,14,12,21,19,12,9,37,36,97,284,
58,20,30,732,824,2045,24,25,45,23,20,21,144,71,230,791,
0,0,98,2245,1393,1220,0,0,0,0,8,5,0,0,0,28,
3080,58,7,16,29,76,21,132,176,246,146,57,120,106,103,853,
