5,7,10,13,25,24,145,117,144,96,9,12,14,16,13,15,
13,22,22,39,38,51,82,152,246,234,21,178,71,64,22,28,
7,4,7,27,22,36,48,55,68,30,15,120,78,142,120,26,
0,5,0,165,384,320,6,13,163,50,0,73,97,209,279,456,
16,72,41,57,95,80,31,32,82,154,35,77,76,213,305,597,
0,0,0,20,54,73,0,1,0,356,9,145,66,284,312,519,
22,25,14,122,72,154,19,25,20,140,28,120,166,275,219,791,
34,55,45,762,829,1860,42,50,54,127,148,226,400,693,414,1227,
0,0,0,2315,1405,1187,0,3,0,10,177,160,290,448,369,270,
2364,22,24,0,0,0,0,4,17,16,0,0,0,0,8,20,
