4,7,6,10,23,17,42,53,179,19,21,14,10,20,16,22,
6,13,12,10,16,22,57,71,299,16,40,22,28,333,236,88,
14,38,16,43,52,65,22,25,160,47,64,74,66,184,392,154,
17,37,4,110,606,395,4,22,240,32,29,27,69,332,492,1167,
18,38,28,42,144,70,25,36,62,102,40,42,46,215,234,697,
0,0,0,29,77,90,0,4,17,227,12,42,76,231,335,664,
29,24,13,155,70,126,22,26,26,102,46,84,212,222,159,789,
36,42,39,548,612,1765,57,409,58,122,236,251,553,568,456,1189,
0,0,19,2238,1358,1177,0,76,0,2,191,185,270,427,336,338,
2308,9,1,9,0,0,0,0,0,0,18,16,0,0,0,0,
