4,3,8,12,12,13,67,59,14,12,4,3,2,4,6,0,
22,15,309,32,41,96,24,44,724,437,166,244,26,30,16,21,
15,6,125,34,22,75,17,32,442,188,122,153,45,33,8,8,
203,42,14,2,9,34,5,20,484,125,97,247,12,22,0,0,
80,24,22,9,12,26,16,20,246,88,204,61,14,28,6,5,
1,0,4,5,22,54,1,26,334,169,291,102,36,171,6,0,
43,58,37,188,113,1453,28,55,309,201,452,145,90,113,15,14,
57,26,38,515,476,1982,29,52,294,418,379,145,125,171,32,10,
102,0,73,2202,1266,1077,0,13,175,172,72,132,145,49,3,0,
3111,16,0,43,66,54,0,4,57,89,36,13,144,53,0,5,
