4,178,74,15,17,7,2,8,12,14,8,4,5,6,2,0,
48,155,521,82,62,75,39,91,143,194,196,57,38,47,26,20,
60,333,536,162,122,140,170,201,738,220,363,128,98,98,58,87,
110,234,106,193,134,146,256,286,1235,640,589,514,202,191,104,28,
96,182,138,257,205,210,562,390,1351,1559,1240,338,214,243,110,77,
49,96,104,762,446,312,436,800,1458,3086,1105,694,374,387,83,32,
158,299,289,408,489,439,473,918,931,1466,1260,905,696,510,328,182,
176,200,202,976,939,2554,357,839,797,1297,1053,887,809,738,628,426,
110,31,45,2598,1667,1512,200,284,140,243,573,596,633,602,249,49,
2450,50,34,136,128,142,38,60,78,253,115,265,369,315,32,20,
