133,153,197,19,22,30,16,18,10,42,6,26,279,99,13,14,
21,68,430,22,25,36,14,17,23,17,12,16,357,60,16,16,
20,80,215,20,11,29,4,2,6,11,13,6,250,40,5,5,
8,12,32,9,13,25,0,0,0,0,2,9,405,44,0,0,
26,30,38,30,30,46,17,18,20,17,15,17,426,174,19,16,
4,5,8,12,29,42,0,0,0,0,0,0,350,397,19,0,
70,278,202,231,104,160,18,14,16,19,18,21,524,235,67,30,
90,262,205,955,1209,2571,36,37,28,32,32,54,771,325,186,74,
112,63,51,2406,1846,1450,0,0,8,20,0,80,666,249,154,16,
2541,42,34,100,93,110,0,0,0,14,22,91,384,239,89,32,
